,,,,,,,,,
Theme: Households,,,,,,,,,
Subject: Household Income,,,,,,,,,
Topic: Household Characteristics,,,,,,,,,
"Table Title: Resident Households by Type of Dwelling, 2000 - 2023 (Household Income From Work, Annual)",,,,,,,,,
,,,,,,,,,
Data last updated: 07/02/2024,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,
,,,,,,,,,
,,,,,,,,Per Cent,
Year,Total1/,HDB Dwellings,,,,,Condominiums & Other Apartments,Landed Properties,
,,Total HDB2/,HDB 1- & 2- Room Flats3/,HDB 3-Room Flats,HDB 4-Room Flats,HDB 5-Room & Executive Flats,,,
2023,100,77.8,7,17,31.3,22.4,17.2,4.8,
2022,100,77.9,6.7,17.2,31.4,22.6,17,4.9,
2021,100,78.3,6.6,17.5,31.5,22.7,16.5,4.9,
2020,100,78.7,6.5,17.7,31.6,22.9,16,5,
2019,100,78.6,6.2,17.5,31.8,23.1,16.2,5,
2018,100,78.7,6.1,17.6,31.7,23.2,15.9,5.1,
2017,100,79,5.8,17.8,31.8,23.5,15.6,5.2,
2016,100,80,5.9,18.2,32.2,23.6,14.4,5.2,
2015,100,80.1,5.6,18.2,32,24.1,13.9,5.6,
2014,100,80.4,5.3,18.3,32.2,24.4,13.5,5.8,
2013,100,81.9,5,19,32.6,25.1,12.2,5.5,
2012,100,81.6,4.7,18.6,32.6,25.5,12.1,6,
2011,100,82.7,4.6,20.4,32.1,25.5,11.1,5.8,
2010,100,82.4,4.6,20,31.9,25.6,11.5,5.7,
2009,100,83.6,4.4,20.2,32,26.6,10.5,5.5,
2008,100,82.8,3.9,20.4,32,26.2,11.2,5.7,
2007,100,83.2,4.2,20.6,32.1,26.1,11.1,5.4,
2006,100,83.1,4.4,21.8,31.7,24.8,10.9,5.7,
2005,100,84.4,4.3,20.7,32.5,26.6,9.8,5.4,
2004,100,83.9,4.1,22.4,31.5,25.4,10.1,5.6,
2003,100,84.6,4.5,22.8,32.2,24.7,8.3,6.7,
2002,100,85.8,4.3,23.4,32.8,24.8,7.1,6.6,
2001,100,86.5,4.5,25,32.3,24.2,6.8,6.1,
2000,100,88,5,25.8,33.1,23.5,6.5,5.1,
,,,,,,,,,
,,,,,,,,,
Footnotes:,,,,,,,,,
Note: A resident household refers to a household where the household reference person is a Singapore citizen or permanent resident.,,,,,,,,,
"1/ Total includes other types of dwelling not shown, e.g. non-HDB shophouses etc.",,,,,,,,,
2/ Data for years prior to 2018 includes non-privatised Housing and Urban Development Company (HUDC) flats.,,,,,,,,,
3/ Includes HDB studio apartments.,,,,,,,,,
,,,,,,,,,
Notation:,,,,,,,,,
na   not available or not applicable,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,
Notes,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,,,
,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,
Date generated: 17/04/2024,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,
