,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: Household Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Household Income from Work at Selected Percentiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Real Change in Monthly Household Income from Work Per Household Member (Including Employer CPF Contributions) Among Resident Employed Households at Selected Percentiles, 2000 - 2023 (Household Income From Work, Annual)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 07/02/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Per Cent,
Percentiles1/,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,Cumulative Change from 2013 to 2023,Cumulative Change from 2013 to 2018,Cumulative Change from 2018 to 2023,Annualised Change from 2013 to 2023,Annualised Change from 2013 to 2018,Annualised Change from 2018 to 2023,
10th,-0.4,5,7,-4.8,5.2,2.1,2.8,2.8,9.7,6.7,1.4,0.8,3.8,6.3,-3.5,0.4,5,2.4,1.2,-2.7,-0.4,-4.4,2.1,41.3,26.2,12,3.5,4.8,2.3,
20th,0.9,3.2,5.5,-1.3,3.8,3.4,2.5,4.2,7.6,6.1,3.4,-0.5,4.4,5.3,-3,3.3,4.3,3.5,0.8,-0.4,-0.8,-3.1,3.8,42,26.1,12.6,3.6,4.8,2.4,
30th,2.9,1.9,4.6,-2.5,3.8,3.5,2.5,2.8,7.2,5.3,3,2.5,2.9,5.3,-2.6,5.6,4.7,3.8,2.4,-0.1,-0.3,-2.2,6.5,36.8,23.3,11,3.2,4.3,2.1,
40th,1.8,2.4,3.7,-1.5,4.5,3.4,3.3,2.4,6.5,5.4,3.5,2,2.2,4.3,-2.1,6.5,5,2.8,3.7,-1,-0.1,-1.6,7.7,36.7,22.8,11.3,3.2,4.2,2.2,
50th (Median),1.7,2.6,2.8,-1.2,4.3,3,3.9,3.8,5.4,4.7,3.2,1.9,2.7,3.7,-1.9,6.4,4.8,2.9,4,-1.8,0.6,-2.1,8.9,35.6,22.7,10.5,3.1,4.2,2,
60th,1.4,2.3,2.2,-1.8,5.7,2.7,4,3.3,6.5,4.6,2.7,1.9,2,3.4,-2.3,5.7,5.7,2.9,4.6,-1.8,-0.1,-1.8,10.6,35.2,22.9,10,3.1,4.2,1.9,
70th,0.9,2.8,2,-2.2,5.1,3.9,3.5,4.3,6.1,4.3,3.1,0.6,2,3.5,-3.2,5.9,6.7,3,4.4,-2.4,1.1,-1.8,11.1,34.9,24.1,8.7,3,4.4,1.7,
80th,0.7,2.2,1.5,-2.5,5,4.3,3.6,4,5.4,5,2.4,0.6,1.8,3.8,-3.9,5.4,6.9,3.5,4.7,-2.1,1.1,-1.6,11.8,32.8,24.3,6.9,2.9,4.5,1.3,
90th,-0.3,0,0.9,-1.4,2.4,3.8,5.4,2.5,6,6.6,0.3,1.5,1.1,4.6,-3.5,4.7,6.4,5.7,4.8,0,1,-1.3,14.8,28.6,26.6,1.6,2.5,4.8,0.3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: A resident employed household refers to a household where the household reference person is a Singapore citizen or permanent resident, and with at least one employed person. It is notable, for example, that some resident employed households in the lowest 10% owned a car (16.0%), employed a domestic worker (14.7%), lived in private property (8.0%) or were with household reference persons aged 65 years and over (36.6%) in 2023. It is also important to recognise that not all households are consistently in the same decile group from one year to the next. For example, a household may move down from a higher decile in a particular year due to the temporary unemployment of a household member, before moving up the deciles when the member resumes employment in the subsequent year. In comparing the performance of any particular decile group over time, it is therefore relevant to note that the comparison may not pertain to the same group of households. The Consumer Price Index (CPI) for All Items for the relevant household income group is used as the deflator to compute real income changes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/ Based on ranking of all resident employed households by their monthly household income from work per household member (including employer CPF contributions).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Household Income from Work:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
